	@RELATION FireUSA

@ATTRIBUTE year NUMERIC
@ATTRIBUTE fires NUMERIC
@ATTRIBUTE population NUMERIC
@ATTRIBUTE died NUMERIC
@ATTRIBUTE 10y NUMERIC

@DATA
1996,1975000,269581,5086,0
1997,1795000,272822,4147,0
1998,1755500,276022,4126,0
1999,1823000,279195,3682,0
2000,1708000,282296,4147,1
2001,1734500,285216,6196,1
2002,1687500,288019,3380,1
2003,1584500,290733,3925,1
2004,1550500,293389,3900,1
2005,1602000,296115,3675,1
2006,1642500,298930,3245,1
2007,1557500,301903,3430,1
2008,1451500,304718,3320,1
2009,1348500,307374,3010,1
2010,1331500,309761,3120,2
2011,1389500,312072,3005,2
2012,1375000,314393,2855,2
2013,1240000,316698,3420,2
2014,1298000,319130,3275,2
