@relation total_fire_stat

@attribute 'year' real
@attribute 'countries' real
@attribute 'population' real
@attribute 'fires' real
@attribute 'deaths' real
@attribute 'fires_p_1000peop' real
@attribute 'deaths_p_100000peop' real
@attribute 'deaths_p_100fires' real

@data
1993,39,2400000000,3900000,30200,1.6,1.3,0.8
1994,27,1100000000,4000000,29500,3.6,2.7,0.7
1995,42,1200000000,4500000,32500,3.8,2.7,0.7
1996,43,900000000,4000000,29100,4.4,3.2,0.7
1997,48,2800000000,3700000,57700,1.3,2.1,1.6
1998,47,3000000000,3600000,51700,1.2,1.7,1.4
1999,52,3100000000,3900000,51800,1.3,1.7,1.3
2000,57,3300000000,4500000,56200,1.4,1.7,1.2
2001,46,3500000000,3800000,61900,1.1,1.8,1.6
2002,41,3500000000,4300000,62300,1.2,1.8,1.4
2003,39,3500000000,4500000,61100,1.3,1.7,1.4
2004,44,3500000000,4100000,60100,1.2,1.7,1.5
2005,45,3500000000,4300000,57400,1.2,1.6,1.3
2006,37,3600000000,4100000,52200,1.1,1.5,1.3
2007,40,3800000000,4000000,52500,1.1,1.4,1.3
2008,31,3500000000,3600000,48300,1,1.4,1.3
2009,31,3400000000,3300000,44700,1,1.3,1.4
2010,33,2200000000,3200000,46100,1.5,2.1,1.4
2011,34,2300000000,3300000,48200,1.4,2.1,1.5
2012,35,1100000000,3100000,23700,2.8,2.2,0.8
2013,31,1100000000,2500000,21700,2.3,2,0.9
2014,32,1100000000,2700000,20700,2.5,1.9,0.8
2015,31,1000000000,3500000,18400,3.5,1.8,0.5
2016,39,1100000000,3000000,18000,2.7,1.6,0.6
